id,resblock_id,resblock_id_text,dist_restau2017,dist_restau2018,dist_restau2019,dist_restau2020,dist_restau2021,dist_con_store2017,dist_con_store2018,dist_con_store2019,dist_con_store2020,dist_con_store2021,dist_mall2017,dist_mall2018,dist_mall2019,dist_mall2020,dist_mall2021,dist_gym2017,dist_gym2018,dist_gym2019,dist_gym2020,dist_gym2021,dist_cinema2017,dist_cinema2018,dist_cinema2019,dist_cinema2020,dist_cinema2021,dist_bar2017,dist_bar2018,dist_bar2019,dist_bar2020,dist_bar2021,dist_univ,dist_top_univ,dist_topmid_school,dist_mid_school,dist_toppri_school,dist_pri_school,dist_parks,dist_hospital,dist_bus2017,dist_bus2018,dist_bus2019,dist_bus2020,dist_bus2021
79,5011000000147 ,'5011000000147,20.78736283,258.1484523,249.4691039,244.5115522,226.0050818,229.8563792,229.8563792,229.8563792,229.8563792,229.8563792,1092.169046,1092.169046,1093.053234,1091.775949,1217.354693,867.6350653,375.7641973,228.0507673,228.933977,228.933977,1109.947991,1109.947991,1109.947991,1235.4724,834.0682596,546.4691995,546.4691995,1081.689478,243.166673,950.2411239,3221.86547,3221.86547,3857.092553,2263.283953,3136.003388,670.5478514,801.7447198,3414.412897,296.2605139,296.2605139,69.67105699,35.58862827,36.13200138
80,5011000000150 ,'5011000000150,307.2169081,307.2169081,167.4992071,164.5627382,159.1139845,163.8072998,162.2919687,162.2919687,214.5593158,206.5015423,723.7742913,1006.556684,723.7742913,1184.390542,1194.167055,633.3058271,663.3244511,324.6483607,197.5099873,201.782858,1171.635719,1171.635719,1164.295717,572.0233051,1162.288484,1087.754083,1078.911144,1087.754083,710.3577577,602.5925258,2181.115129,2181.115129,1392.787753,237.6917739,1825.681172,333.0670032,916.5295989,612.8551736,391.4012228,272.2222028,191.965991,191.965991,191.8995094
81,5011000000153 ,'5011000000153,201.7610543,179.6559977,401.1206458,435.1354942,401.1206458,220.2917947,213.7224412,213.7224412,312.0323868,375.975047,997.2409124,997.2409124,998.8287521,998.2222842,998.2222842,861.0659242,807.1021193,808.0212638,807.1021193,807.1021193,1003.810433,1003.810433,1053.87947,1056.292955,1058.209943,929.2292667,738.7623716,773.5336023,772.452789,772.452789,4583.19079,4583.19079,5789.871102,742.7123438,8376.55659,1202.203578,996.1098731,2206.983668,569.6133765,569.6133765,552.363277,552.363277,552.363277
82,5011000000154 ,'5011000000154,26.46975655,26.46975655,26.46975655,26.46975655,26.46975655,34.62262266,34.62262266,30.29682619,30.59044332,36.29340209,124.2085405,118.6620255,117.8184865,117.8184865,154.114389,88.99131682,79.55526061,103.6267619,97.91114354,58.8637196,87.35053789,87.35053789,87.35053789,87.35053789,87.35053789,398.5385032,395.0991384,395.0991384,148.2828069,376.010029,2366.113535,2701.477057,388.5682131,388.5682131,3032.452433,773.7768365,817.5548797,830.196659,110.9783419,112.3267608,112.3267608,113.152562,114.9113282
83,5011000000155 ,'5011000000155,82.09869629,95.17959213,83.21743418,83.21743418,105.5275633,86.67065867,86.67065867,86.69160623,86.69160623,88.94262882,320.3686075,320.3686075,323.9950613,323.9950613,324.7084173,131.9678427,135.4229685,318.6744148,318.6744148,318.6744148,441.5588997,441.5588997,444.8662705,467.5215963,196.7385804,537.4748356,290.5738811,319.2801074,445.5176084,336.1094389,3336.051332,3336.051332,218.9614708,218.9614708,2513.316863,693.9115615,560.8778284,1443.262576,266.6168317,235.4962149,270.1328371,270.1328371,270.1328371
84,5011000000157 ,'5011000000157,596.5840681,558.84682,585.9610055,298.2376456,295.5065656,596.8098115,596.8098115,613.2728431,596.8098115,596.8098115,1890.880535,1890.880535,1891.697812,1891.697812,1892.492851,1864.497144,1864.497144,624.885427,622.9952932,628.9508732,2485.512855,2502.355595,654.0328181,698.6087836,699.9000252,876.718374,882.9676935,2619.50665,1153.917946,1291.342214,8931.953182,8931.953182,4172.083682,945.3474054,13170.77611,745.4458784,1105.886437,5933.455927,380.3739693,380.3739693,331.2811046,331.2811046,331.2811046
85,5011000000158 ,'5011000000158,271.5500954,271.5500954,271.5500954,281.9913845,281.8763229,196.8548536,291.8691274,298.1602445,298.1602445,305.6311801,1004.824151,1010.502092,409.3299533,413.3591444,413.0733896,617.1634209,617.1634209,402.6903825,402.6903825,272.0790725,892.1988974,892.1988974,903.9913735,351.4469618,351.4469618,339.3859593,339.3859593,339.3859593,339.3859593,353.9008727,1630.670014,1630.670014,20851.55047,213.6531527,669.5273988,584.2082261,148.5966475,6369.988864,242.898135,242.898135,241.4250886,241.4250886,243.8452542
86,5011000000163 ,'5011000000163,81.90133363,81.90133363,67.82172748,70.91596186,70.84044607,154.3887625,154.3887625,159.9580838,159.1549137,113.7511047,813.4927413,528.3617645,766.7845435,766.7845435,766.7300595,201.867588,156.7985629,182.2038676,182.2038676,182.2038676,615.4585688,676.7569734,676.7569734,765.7820048,754.580101,660.7522273,79.72806876,438.6846617,113.1807006,672.8003934,1422.065165,1422.065165,6978.507287,368.7222211,8110.970874,121.3371547,644.9392455,2722.423817,136.1543011,136.1543011,138.8392886,138.8392886,138.8392886
87,5011000000174 ,'5011000000174,54.53617883,54.4296481,53.13360217,26.45234549,25.76045637,69.12407389,69.12407389,69.12407389,65.8700881,65.8700881,400.5332404,1506.732301,586.8215928,1495.572821,1495.572821,327.4571972,161.489442,317.0199265,327.4571972,207.7674784,150.9716927,150.9716927,141.0188838,325.5954521,325.5954521,319.0425214,319.0425214,311.5673055,572.3259655,334.7355797,1932.124785,5536.987548,1403.911133,750.7559798,2653.924017,912.8069879,385.9768037,1502.858498,278.464025,279.7687264,278.6372543,278.7535394,278.7535394
88,5011000000175 ,'5011000000175,62.79717171,62.79717171,60.39534252,52.05164803,52.05164803,73.56408633,73.56408633,73.56408633,90.64579833,71.78324539,255.0112566,255.0112566,238.55972,238.55972,1450.368491,1323.41493,1323.41493,1323.41493,314.0486877,218.9034563,1410.413137,1410.413137,1410.413137,1394.617394,1410.413137,83.10467823,83.10467823,88.60096176,83.70817325,82.43202699,5542.148979,8703.462665,8891.677405,459.2644377,4720.050787,950.1093809,277.5386841,9429.522614,142.556549,113.2714549,113.2714549,113.5358432,101.2123157
