id,dist_metro2017,dist_metro2018,dist_metro2019,dist_metro2020,dist_metro2021
4612,3663.9127,3663.9127,3663.9127,3663.9127,1848.156019
4613,1783.644852,1783.644852,1783.644852,1783.644852,1783.644852
4614,2198.803614,2198.803614,2198.803614,2198.803614,5020.945085
4615,878.780291,878.780291,878.780291,9937.361319,6020.863091
4616,5209.914356,5209.914356,5668.403083,5668.403083,1452.908649
4617,1173.733724,1173.733724,833.9402676,228.7549581,1682.026551
4618,1359.190863,1359.190863,1359.190863,1359.190863,8002.939529
4619,1951.123711,1800.3815,2970.294538,2970.294538,3361.852654
4620,1642.77125,1642.77125,1642.77125,1515.761877,8337.199899
4621,2049.708643,2049.708643,1816.76706,1816.76706,4611.903825
4622,999.8419368,999.8419368,999.8419368,999.8419368,8018.052223
4623,1473.19285,1473.19285,848.9044032,848.9044032,1473.19285
4624,1476.171801,1476.171801,900.4931602,900.4931602,1476.171801
4625,1735.549655,1735.549655,1735.549655,3107.538284,2773.75476
4626,4126.338202,4126.338202,1752.100357,1752.100357,7596.063957
4627,3249.212529,3249.212529,2923.040387,2923.040387,4133.712058
4628,969.9067815,969.9067815,969.9067815,969.9067815,2316.354084
4629,2427.619707,2427.619707,1890.246583,1890.246583,2427.619707
4630,1975.389694,1975.389694,5748.89085,5748.89085,4912.940333
4631,79.10054965,79.10054965,79.10054965,79.10054965,7331.573342
4632,1592.479783,1592.479783,4058.429475,4058.429475,4058.429475
4633,4835.516797,4835.516797,2435.342473,2435.342473,6810.790274
4634,2550.798353,2550.798353,2256.297624,2256.297624,2550.798353
4635,476.078799,476.078799,476.078799,476.078799,7629.560916
4636,1584.849523,1584.849523,358.3508596,358.3508596,6410.755968
4637,2132.351683,2132.351683,2132.351683,2132.351683,2132.351683
4638,3022.850481,3022.850481,2589.413553,2589.413553,4193.573468
4639,3033.583789,3033.583789,1679.940577,1662.707363,6207.832684
4640,3398.794458,3398.794458,3398.794458,3398.794458,592.0433585
4641,2927.360834,2927.360834,2927.360834,2962.443018,4484.051085
4642,1480.41175,1480.41175,1480.41175,1480.41175,5178.889765
4643,753.8042935,753.8042935,6087.67656,6087.67656,4897.721662
4644,839.6681384,839.6681384,839.6681384,1201.569771,6542.747407
4645,1088.114835,1088.114835,1088.114835,1088.114835,1088.114835
4646,3555.505315,3555.505315,2335.497964,2335.497964,6243.182037
4647,1295.446134,1295.446134,901.5414517,901.5414517,5795.387932
4648,1739.922428,1739.922428,1590.895339,1590.895339,2671.266085
4649,842.6091675,842.6091675,842.6091675,2170.988189,2771.317392
4650,5917.114254,5917.114254,5917.114254,7010.483584,834.4746134
4651,2153.458485,2153.458485,2153.458485,2153.458485,2153.458485
4652,770.9606851,770.9606851,2380.529505,2380.529505,2414.272221
4653,1264.380711,1264.380711,1264.380711,1264.380711,3470.347915
4654,1443.214186,1443.214186,217.6180543,217.6180543,4734.305968
4655,2365.164699,2365.164699,2365.164699,2365.164699,1487.507601
4656,2412.515286,2412.093322,3953.528453,3953.528453,4041.703876
4657,1268.289677,1268.289677,1268.289677,1268.289677,5478.970175
4658,1147.329817,1147.329817,1063.76145,1063.76145,5688.405242
4659,795.7186187,795.7186187,795.7186187,795.7186187,7380.854705
4660,1351.17186,1351.17186,1231.081887,955.2936517,1819.041792
4661,3285.439102,3285.439102,2959.517782,2959.517782,3818.299764
4662,651.7556643,651.7556643,651.7556643,651.7556643,732.6976881
4663,2389.013089,2389.013089,2389.013089,2389.013089,4202.849486
4664,2351.692973,2351.692973,1579.059248,1579.059248,4766.181384
4665,2857.354449,2857.354449,2857.354449,3689.85103,3292.10483
4666,2473.895057,2473.895057,2473.895057,2473.895057,4258.46279
4667,403.9095413,403.9095413,403.9095413,403.9095413,6925.73877
4668,1203.82508,1203.82508,192.2812827,192.2812827,6796.134894
4669,2962.002551,2962.002551,1177.77192,1177.77192,5355.258494
4670,1357.246342,1357.246342,1357.246342,1357.246342,8014.133857
4671,1594.810966,1594.810966,1194.071296,1194.071296,1594.810966
4672,1827.810571,1827.810571,1048.284814,1048.284814,1827.810571
4673,1795.48749,1795.48749,1795.48749,1795.48749,1795.48749
4674,520.8122665,520.8122665,520.8122665,520.8122665,1833.540976
4675,3330.631189,3330.631189,3330.631189,3330.631189,3342.355322
4676,4779.246555,4779.246555,4550.361946,4550.361946,1638.962621
4677,3761.335737,3761.335737,3761.335737,10924.04846,7954.450845
4678,3118.980825,3118.980825,2768.602089,2768.602089,4005.330724
4679,1215.089524,1215.089524,1215.089524,1040.813683,7491.528219
4680,1969.843215,1969.843215,909.7620254,909.7620254,5860.177594
4681,724.36391,724.36391,724.36391,540.6741907,7051.777065
4682,1779.391876,1779.391876,1779.391876,1779.391876,4691.912632
4683,1441.419824,1441.419824,1427.613265,1427.613265,7999.03557
4684,4398.171087,4398.171087,1988.400363,1988.400363,6616.495451
4685,1096.638817,1096.638817,1096.638817,1096.638817,7489.635761
4686,2282.548279,2282.548279,2166.678789,2116.381498,4816.813312
4687,1431.092829,1431.092829,1431.092829,1431.092829,4639.291357
4688,2032.811769,2032.811769,1361.490703,1361.490703,5559.026351
4689,1661.73407,1661.73407,1661.73407,1661.73407,1661.73407
4690,1544.923979,1544.923979,1414.631971,1414.631971,4765.311336
4691,3089.085185,3089.085185,2675.999245,2675.999245,3093.712048
4692,861.7227751,861.7227751,861.7227751,861.7227751,7438.45154
4693,841.1003346,841.1003346,1131.684021,833.9372345,1895.914271
4694,486.5429937,486.5429937,486.5429937,486.5429937,6977.624645
4695,2731.132193,2731.132193,2731.132193,2731.132193,8460.886849
4696,3713.061103,3713.061103,1195.969225,1195.969225,7339.774567
4697,2396.634027,2396.634027,2396.634027,2396.634027,4418.214792
4698,937.9247809,937.9247809,2655.920578,2655.920578,1443.004027
4699,3404.226957,3404.226957,3404.226957,3404.226957,54.48422449
4700,4687.376454,4687.376454,4687.376454,4687.376454,1772.806579
4701,494.4729516,494.4729516,494.4729516,412.9575973,6384.638706
4702,4087.146946,4087.146946,2987.698242,2987.698242,6052.720735
4703,3683.890619,3683.890619,1840.797074,1840.797074,7999.402569
4704,553.8067934,553.8067934,511.8126796,511.8126796,6617.494949
4705,1117.278097,1117.278097,1117.278097,1117.278097,5343.150094
4706,3122.212777,3122.212777,3122.212777,3122.212777,8047.203806
4707,1447.27927,1447.27927,364.1532277,364.1532277,7005.183008
